iter	Logloss
0	0.521434728
1	0.4006185403
2	0.3121675049
3	0.2504966863
4	0.2058243694
5	0.1698778381
6	0.1406003562
7	0.1265587379
8	0.1103562361
9	0.1007193057
10	0.09002279543
11	0.08267545714
12	0.0755785985
13	0.06915616239
14	0.06433024449
15	0.0607861337
16	0.05698500029
17	0.05394970201
18	0.05120022534
19	0.04954611161
20	0.04741252974
21	0.04546746986
22	0.04338075931
23	0.04165429766
24	0.04088707303
25	0.03890327268
26	0.03687274508
27	0.03543383264
28	0.03412735273
29	0.0335461923
30	0.03214474272
31	0.03102894551
32	0.03009436159
33	0.02903562789
34	0.02820318858
35	0.02717797786
36	0.0262185119
37	0.02539565283
38	0.02453307202
39	0.02402566054
40	0.02385084544
41	0.02341534916
42	0.02251096836
43	0.02198640783
44	0.02132352376
45	0.0206916065
46	0.02007523017
47	0.01945228011
48	0.01880495076
49	0.01838704064
50	0.01798991799
51	0.01771582716
52	0.01712694392
53	0.01678751523
54	0.01644806956
55	0.01599170635
56	0.01562595131
57	0.01540601688
58	0.01528071625
59	0.01489278192
60	0.01461917167
61	0.01420359325
62	0.01399435634
63	0.01353348535
64	0.01318454905
65	0.01288968548
66	0.01260741491
67	0.01233908785
68	0.01213597737
69	0.01180683442
70	0.01166056576
71	0.01142669492
72	0.01117403894
73	0.01102952973
74	0.01097363799
75	0.01086480643
76	0.01062925031
77	0.01043836813
78	0.01004217165
79	0.009790519895
80	0.009590986008
81	0.009475215238
82	0.009235280634
83	0.008882631062
84	0.008714104514
85	0.008565554673
86	0.008409277891
87	0.0082822997
88	0.008066066497
89	0.007896108611
90	0.007696624485
91	0.007570164261
92	0.00748103793
93	0.007391245845
94	0.007328768288
95	0.007203955276
96	0.007066039323
97	0.006952866209
98	0.006764082647
99	0.00667794844
100	0.00650402774
101	0.006471083317
102	0.006324703462
103	0.006223365515
104	0.006144470031
105	0.006044919151
106	0.00589510006
107	0.005881212937
108	0.00574710829
109	0.005734649068
110	0.005601398144
111	0.005521358
112	0.005472348657
113	0.005456107178
114	0.005439334784
115	0.005325293593
116	0.005210441023
117	0.005105328976
118	0.005075201376
119	0.004968486554
120	0.004873499077
121	0.004829970216
122	0.004739282195
123	0.004714274163
124	0.004632425059
125	0.004608762794
126	0.004558023131
127	0.004469813428
128	0.004447260746
129	0.004419701759
130	0.00434021699
131	0.004326331921
132	0.004264661884
133	0.004264645969
134	0.004252746135
135	0.004245038792
136	0.004200804056
137	0.004167012549
138	0.004124549211
139	0.004109321737
140	0.004055336493
141	0.004021424408
142	0.003958308253
143	0.003944494648
144	0.003920786742
145	0.003903057214
146	0.003848554241
147	0.003742512554
148	0.003709645287
149	0.003688726132
150	0.003636354339
151	0.003612292242
152	0.003593236359
153	0.003555392123
154	0.003528499081
155	0.00351243163
156	0.003476220982
157	0.003412419281
158	0.00336002802
159	0.003341881315
160	0.003311863585
161	0.00329646982
162	0.003254829335
163	0.003240252908
164	0.00321095062
165	0.003177828966
166	0.003153983359
167	0.003123235288
168	0.003103252434
169	0.003084473067
170	0.003064076003
171	0.003045151879
172	0.002984533683
173	0.002967641024
174	0.002950274762
175	0.002933920529
176	0.002922030698
177	0.002886787043
178	0.002871681348
179	0.002860619916
180	0.002809825584
181	0.002775711257
182	0.002741923918
183	0.002695334289
184	0.00266650473
185	0.002655695442
186	0.002642193336
187	0.002619741614
188	0.002599034616
189	0.002575765438
190	0.002555239775
191	0.002531852705
192	0.002514022855
193	0.002499689127
194	0.002485478704
195	0.002485468442
196	0.002485428025
197	0.002485435983
198	0.002485409387
199	0.002485403314
02711055564

